2022-03-25 20:04:54,184  [INFO]  Epoch: 24  Loss: 0.20208,  Dice-Coef:  0.79792  (train_2022.py:  81)
2022-03-25 20:13:10,505  [INFO]  Epoch: 25  Loss: 0.07716,  Dice-Coef:  0.92284  (train_2022.py:  55)
2022-03-25 20:16:14,786  [INFO]  Epoch: 25  Loss: 0.20244,  Dice-Coef:  0.79756  (train_2022.py:  81)
2022-03-25 20:24:31,107  [INFO]  Epoch: 26  Loss: 0.07680,  Dice-Coef:  0.92320  (train_2022.py:  55)
2022-03-25 20:27:35,110  [INFO]  Epoch: 26  Loss: 0.20005,  Dice-Coef:  0.79995  (train_2022.py:  81)
2022-03-25 20:35:51,397  [INFO]  Epoch: 27  Loss: 0.07675,  Dice-Coef:  0.92325  (train_2022.py:  55)
2022-03-25 20:38:55,883  [INFO]  Epoch: 27  Loss: 0.20107,  Dice-Coef:  0.79893  (train_2022.py:  81)
2022-03-25 20:47:12,470  [INFO]  Epoch: 28  Loss: 0.07676,  Dice-Coef:  0.92324  (train_2022.py:  55)
2022-03-25 20:50:16,871  [INFO]  Epoch: 28  Loss: 0.20055,  Dice-Coef:  0.79945  (train_2022.py:  81)
2022-03-25 20:58:33,565  [INFO]  Epoch: 29  Loss: 0.07735,  Dice-Coef:  0.92265  (train_2022.py:  55)
2022-03-25 21:01:37,824  [INFO]  Epoch: 29  Loss: 0.19929,  Dice-Coef:  0.80071  (train_2022.py:  81)
2022-03-25 21:09:54,269  [INFO]  Epoch: 30  Loss: 0.07704,  Dice-Coef:  0.92296  (train_2022.py:  55)
2022-03-25 21:12:58,390  [INFO]  Epoch: 30  Loss: 0.20130,  Dice-Coef:  0.79870  (train_2022.py:  81)
2022-03-25 23:14:31,686  [INFO]  pspnet_res18 Train Start  (train_2022.py:  29)
2022-03-25 23:20:45,075  [INFO]  Epoch: 1  Loss: 0.20313,  Dice-Coef:  0.79687  (train_2022.py:  55)
2022-03-25 23:23:08,759  [INFO]  Epoch: 1  Loss: 0.24666,  Dice-Coef:  0.75334  (train_2022.py:  81)
2022-03-25 23:29:17,547  [INFO]  Epoch: 2  Loss: 0.11056,  Dice-Coef:  0.88944  (train_2022.py:  55)
2022-03-25 23:31:41,751  [INFO]  Epoch: 2  Loss: 0.25837,  Dice-Coef:  0.74163  (train_2022.py:  81)
2022-03-25 23:37:50,255  [INFO]  Epoch: 3  Loss: 0.09798,  Dice-Coef:  0.90202  (train_2022.py:  55)
2022-03-25 23:40:15,260  [INFO]  Epoch: 3  Loss: 0.33517,  Dice-Coef:  0.66483  (train_2022.py:  81)
2022-03-25 23:46:24,836  [INFO]  Epoch: 4  Loss: 0.09035,  Dice-Coef:  0.90965  (train_2022.py:  55)
2022-03-25 23:48:49,458  [INFO]  Epoch: 4  Loss: 0.24078,  Dice-Coef:  0.75922  (train_2022.py:  81)
2022-03-25 23:54:59,516  [INFO]  Epoch: 5  Loss: 0.08752,  Dice-Coef:  0.91248  (train_2022.py:  55)
2022-03-25 23:57:24,331  [INFO]  Epoch: 5  Loss: 0.21690,  Dice-Coef:  0.78310  (train_2022.py:  81)
2022-03-26 00:03:34,550  [INFO]  Epoch: 6  Loss: 0.08519,  Dice-Coef:  0.91481  (train_2022.py:  55)
2022-03-26 00:05:59,591  [INFO]  Epoch: 6  Loss: 0.21950,  Dice-Coef:  0.78050  (train_2022.py:  81)
2022-03-26 00:12:08,988  [INFO]  Epoch: 7  Loss: 0.08366,  Dice-Coef:  0.91634  (train_2022.py:  55)
2022-03-26 00:14:34,268  [INFO]  Epoch: 7  Loss: 0.20777,  Dice-Coef:  0.79223  (train_2022.py:  81)
2022-03-26 00:20:44,334  [INFO]  Epoch: 8  Loss: 0.08103,  Dice-Coef:  0.91897  (train_2022.py:  55)
2022-03-26 00:23:09,589  [INFO]  Epoch: 8  Loss: 0.21997,  Dice-Coef:  0.78003  (train_2022.py:  81)
2022-03-26 00:29:19,198  [INFO]  Epoch: 9  Loss: 0.08127,  Dice-Coef:  0.91873  (train_2022.py:  55)
2022-03-26 00:31:44,363  [INFO]  Epoch: 9  Loss: 0.20547,  Dice-Coef:  0.79453  (train_2022.py:  81)
2022-03-26 00:37:54,509  [INFO]  Epoch: 10  Loss: 0.07974,  Dice-Coef:  0.92026  (train_2022.py:  55)
2022-03-26 00:40:20,035  [INFO]  Epoch: 10  Loss: 0.24624,  Dice-Coef:  0.75376  (train_2022.py:  81)
2022-03-26 00:46:29,717  [INFO]  Epoch: 11  Loss: 0.07947,  Dice-Coef:  0.92053  (train_2022.py:  55)
2022-03-26 00:48:55,063  [INFO]  Epoch: 11  Loss: 0.22903,  Dice-Coef:  0.77097  (train_2022.py:  81)
2022-03-26 00:55:04,691  [INFO]  Epoch: 12  Loss: 0.07798,  Dice-Coef:  0.92202  (train_2022.py:  55)
2022-03-26 00:57:29,922  [INFO]  Epoch: 12  Loss: 0.20842,  Dice-Coef:  0.79158  (train_2022.py:  81)
2022-03-26 01:03:39,644  [INFO]  Epoch: 13  Loss: 0.07754,  Dice-Coef:  0.92246  (train_2022.py:  55)
2022-03-26 01:06:04,663  [INFO]  Epoch: 13  Loss: 0.19742,  Dice-Coef:  0.80258  (train_2022.py:  81)
2022-03-26 01:12:14,919  [INFO]  Epoch: 14  Loss: 0.07723,  Dice-Coef:  0.92277  (train_2022.py:  55)
2022-03-26 01:14:39,837  [INFO]  Epoch: 14  Loss: 0.20935,  Dice-Coef:  0.79065  (train_2022.py:  81)
2022-03-26 01:20:49,349  [INFO]  Epoch: 15  Loss: 0.07711,  Dice-Coef:  0.92289  (train_2022.py:  55)
2022-03-26 01:23:14,471  [INFO]  Epoch: 15  Loss: 0.20553,  Dice-Coef:  0.79447  (train_2022.py:  81)
2022-03-26 01:29:24,013  [INFO]  Epoch: 16  Loss: 0.07720,  Dice-Coef:  0.92280  (train_2022.py:  55)
2022-03-26 01:31:49,484  [INFO]  Epoch: 16  Loss: 0.20767,  Dice-Coef:  0.79233  (train_2022.py:  81)
2022-03-26 01:37:58,934  [INFO]  Epoch: 17  Loss: 0.07612,  Dice-Coef:  0.92388  (train_2022.py:  55)
2022-03-26 01:40:23,942  [INFO]  Epoch: 17  Loss: 0.20696,  Dice-Coef:  0.79304  (train_2022.py:  81)
2022-03-26 01:46:33,560  [INFO]  Epoch: 18  Loss: 0.07623,  Dice-Coef:  0.92377  (train_2022.py:  55)
2022-03-26 01:48:58,504  [INFO]  Epoch: 18  Loss: 0.20420,  Dice-Coef:  0.79580  (train_2022.py:  81)
2022-03-26 01:55:08,023  [INFO]  Epoch: 19  Loss: 0.07633,  Dice-Coef:  0.92367  (train_2022.py:  55)
2022-03-26 01:57:33,037  [INFO]  Epoch: 19  Loss: 0.20692,  Dice-Coef:  0.79308  (train_2022.py:  81)
2022-03-26 02:03:42,564  [INFO]  Epoch: 20  Loss: 0.07591,  Dice-Coef:  0.92409  (train_2022.py:  55)
2022-03-26 02:06:07,802  [INFO]  Epoch: 20  Loss: 0.21191,  Dice-Coef:  0.78809  (train_2022.py:  81)
2022-03-26 02:12:17,524  [INFO]  Epoch: 21  Loss: 0.07551,  Dice-Coef:  0.92449  (train_2022.py:  55)
2022-03-26 02:14:42,967  [INFO]  Epoch: 21  Loss: 0.20428,  Dice-Coef:  0.79572  (train_2022.py:  81)
2022-03-26 02:20:52,673  [INFO]  Epoch: 22  Loss: 0.07559,  Dice-Coef:  0.92441  (train_2022.py:  55)
2022-03-26 02:23:17,274  [INFO]  Epoch: 22  Loss: 0.20257,  Dice-Coef:  0.79743  (train_2022.py:  81)
2022-03-26 02:29:26,904  [INFO]  Epoch: 23  Loss: 0.07581,  Dice-Coef:  0.92419  (train_2022.py:  55)
2022-03-26 02:31:52,165  [INFO]  Epoch: 23  Loss: 0.20480,  Dice-Coef:  0.79520  (train_2022.py:  81)
2022-03-26 02:38:01,915  [INFO]  Epoch: 24  Loss: 0.07509,  Dice-Coef:  0.92491  (train_2022.py:  55)
2022-03-26 02:40:27,375  [INFO]  Epoch: 24  Loss: 0.20534,  Dice-Coef:  0.79466  (train_2022.py:  81)
2022-03-26 02:46:36,856  [INFO]  Epoch: 25  Loss: 0.07515,  Dice-Coef:  0.92485  (train_2022.py:  55)
2022-03-26 02:49:02,153  [INFO]  Epoch: 25  Loss: 0.20001,  Dice-Coef:  0.79999  (train_2022.py:  81)
2022-03-26 02:55:11,638  [INFO]  Epoch: 26  Loss: 0.07527,  Dice-Coef:  0.92473  (train_2022.py:  55)
2022-03-26 02:57:36,485  [INFO]  Epoch: 26  Loss: 0.20138,  Dice-Coef:  0.79862  (train_2022.py:  81)
2022-03-26 03:03:46,003  [INFO]  Epoch: 27  Loss: 0.07458,  Dice-Coef:  0.92542  (train_2022.py:  55)
2022-03-26 03:06:11,229  [INFO]  Epoch: 27  Loss: 0.20159,  Dice-Coef:  0.79841  (train_2022.py:  81)
2022-03-26 03:12:20,676  [INFO]  Epoch: 28  Loss: 0.07526,  Dice-Coef:  0.92474  (train_2022.py:  55)
2022-03-26 03:14:45,958  [INFO]  Epoch: 28  Loss: 0.20482,  Dice-Coef:  0.79518  (train_2022.py:  81)
2022-03-26 03:20:55,367  [INFO]  Epoch: 29  Loss: 0.07489,  Dice-Coef:  0.92511  (train_2022.py:  55)
2022-03-26 03:23:20,499  [INFO]  Epoch: 29  Loss: 0.20139,  Dice-Coef:  0.79861  (train_2022.py:  81)
2022-03-26 03:29:30,045  [INFO]  Epoch: 30  Loss: 0.07540,  Dice-Coef:  0.92460  (train_2022.py:  55)
2022-03-26 03:31:55,473  [INFO]  Epoch: 30  Loss: 0.20313,  Dice-Coef:  0.79687  (train_2022.py:  81)
2022-03-26 11:05:55,998  [INFO]  pspnet_res18 Train Start  (train_2022.py:  29)
2022-03-26 11:08:12,714  [INFO]  Epoch: 1  Loss: 0.33039,  Dice-Coef:  0.66961  (train_2022.py:  55)
2022-03-26 11:09:06,053  [INFO]  Epoch: 1  Loss: 0.38947,  Dice-Coef:  0.61053  (train_2022.py:  81)
2022-03-26 11:11:20,822  [INFO]  Epoch: 2  Loss: 0.15339,  Dice-Coef:  0.84661  (train_2022.py:  55)
2022-03-26 11:12:13,516  [INFO]  Epoch: 2  Loss: 0.24977,  Dice-Coef:  0.75023  (train_2022.py:  81)
2022-03-26 11:14:26,783  [INFO]  Epoch: 3  Loss: 0.12425,  Dice-Coef:  0.87575  (train_2022.py:  55)
2022-03-26 11:15:18,932  [INFO]  Epoch: 3  Loss: 0.27026,  Dice-Coef:  0.72974  (train_2022.py:  81)
2022-03-26 11:17:31,700  [INFO]  Epoch: 4  Loss: 0.10830,  Dice-Coef:  0.89170  (train_2022.py:  55)
2022-03-26 11:18:24,089  [INFO]  Epoch: 4  Loss: 0.31870,  Dice-Coef:  0.68130  (train_2022.py:  81)
2022-03-26 11:20:36,784  [INFO]  Epoch: 5  Loss: 0.10390,  Dice-Coef:  0.89610  (train_2022.py:  55)
2022-03-26 11:21:29,149  [INFO]  Epoch: 5  Loss: 0.26561,  Dice-Coef:  0.73439  (train_2022.py:  81)
2022-03-26 11:23:42,365  [INFO]  Epoch: 6  Loss: 0.10022,  Dice-Coef:  0.89978  (train_2022.py:  55)
2022-03-26 11:24:34,792  [INFO]  Epoch: 6  Loss: 0.31969,  Dice-Coef:  0.68031  (train_2022.py:  81)
2022-03-26 11:26:48,060  [INFO]  Epoch: 7  Loss: 0.09517,  Dice-Coef:  0.90483  (train_2022.py:  55)
2022-03-26 11:27:40,483  [INFO]  Epoch: 7  Loss: 0.25338,  Dice-Coef:  0.74662  (train_2022.py:  81)
